local authority code,local authority name,LSOA code,residents,hours worked 15 or less,hours worked 16 to 30,hours worked 31 to 48,hours worked 49 or more
E09000001,City of London,E01000001,926,55,87,424,360
E09000001,City of London,E01000002,910,62,80,443,325
E09000001,City of London,E01000003,764,39,104,414,207
E09000001,City of London,E01000005,476,38,76,271,91
E09000001,City of London,E01032739,819,29,36,338,416
E09000001,City of London,E01032740,852,37,35,362,418
E09000002,Barking and Dagenham,E01000006,781,73,170,448,90
E09000002,Barking and Dagenham,E01000007,607,49,125,384,49
E09000002,Barking and Dagenham,E01000008,545,60,150,292,43
E09000002,Barking and Dagenham,E01000009,769,78,149,478,64
E09000002,Barking and Dagenham,E01000011,691,89,178,377,47
E09000002,Barking and Dagenham,E01000012,769,66,180,438,85
E09000002,Barking and Dagenham,E01000013,800,77,164,481,78
E09000002,Barking and Dagenham,E01000014,565,52,104,352,57
E09000002,Barking and Dagenham,E01000015,885,76,185,544,80
E09000002,Barking and Dagenham,E01000016,678,62,149,412,55
E09000002,Barking and Dagenham,E01000017,642,44,127,414,57
E09000002,Barking and Dagenham,E01000018,644,55,140,399,50
E09000002,Barking and Dagenham,E01000019,558,57,113,337,51
E09000002,Barking and Dagenham,E01000020,712,68,118,471,55
E09000002,Barking and Dagenham,E01000021,614,53,121,398,42
E09000002,Barking and Dagenham,E01000022,532,60,105,315,52
E09000002,Barking and Dagenham,E01000024,534,51,111,327,45
E09000002,Barking and Dagenham,E01000025,678,58,138,400,82
E09000002,Barking and Dagenham,E01000027,634,46,135,393,60
E09000002,Barking and Dagenham,E01000028,535,42,110,340,43
E09000002,Barking and Dagenham,E01000029,636,66,124,393,53
E09000002,Barking and Dagenham,E01000030,665,41,164,413,47
E09000002,Barking and Dagenham,E01000031,728,59,111,482,76
E09000002,Barking and Dagenham,E01000032,718,62,144,426,86
E09000002,Barking and Dagenham,E01000033,512,49,110,297,56
E09000002,Barking and Dagenham,E01000034,559,49,93,359,58
E09000002,Barking and Dagenham,E01000035,684,68,131,416,69
E09000002,Barking and Dagenham,E01000036,643,54,110,417,62
E09000002,Barking and Dagenham,E01000037,890,78,146,573,93
E09000002,Barking and Dagenham,E01000038,650,71,112,403,64
E09000002,Barking and Dagenham,E01000039,748,54,122,487,85
E09000002,Barking and Dagenham,E01000040,637,65,133,369,70
E09000002,Barking and Dagenham,E01000041,683,60,104,455,64
E09000002,Barking and Dagenham,E01000042,610,44,147,370,49
E09000002,Barking and Dagenham,E01000043,519,48,118,307,46
E09000002,Barking and Dagenham,E01000044,769,63,180,463,63
E09000002,Barking and Dagenham,E01000045,664,52,138,422,52
