local authority code,local authority name,LSOA code,All usual residents aged 16+ in work,Work mainly at or from home,Underground; metro; light rail; tram,Train,Bus; minibus or coach,Taxi,Motorcycle; scooter or moped,Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work
E09000001,City of London,E01000001,863,639,35,17,12,3,3,18,0,24,109,3
E09000001,City of London,E01000002,883,678,30,12,15,2,1,19,3,25,93,5
E09000001,City of London,E01000003,1007,622,72,21,26,4,4,27,7,62,146,16
E09000001,City of London,E01000005,498,204,69,25,45,2,2,32,1,20,90,8
E09000001,City of London,E01032739,1177,817,88,9,25,5,1,16,0,21,182,13
E09000001,City of London,E01032740,930,651,52,13,11,4,1,11,1,39,140,7
E09000002,Barking and Dagenham,E01000006,888,191,206,104,60,1,6,226,10,6,61,17
E09000002,Barking and Dagenham,E01000007,1381,367,354,177,117,9,2,220,24,20,73,18
E09000002,Barking and Dagenham,E01000008,648,80,125,74,125,5,3,176,8,6,40,6
E09000002,Barking and Dagenham,E01000009,781,159,201,96,68,1,4,167,18,5,45,17
E09000002,Barking and Dagenham,E01000011,740,137,155,86,90,1,4,172,28,14,38,15
E09000002,Barking and Dagenham,E01000012,904,186,204,112,98,9,5,205,13,13,37,22
E09000002,Barking and Dagenham,E01000013,798,126,187,71,76,1,5,252,19,9,43,9
E09000002,Barking and Dagenham,E01000014,798,146,134,61,81,3,6,293,25,11,30,8
E09000002,Barking and Dagenham,E01000015,1072,202,204,89,105,9,6,351,21,17,53,15
E09000002,Barking and Dagenham,E01000016,864,149,131,72,88,6,5,304,23,12,57,17
E09000002,Barking and Dagenham,E01000017,747,136,127,67,81,1,2,251,26,9,34,13
E09000002,Barking and Dagenham,E01000018,837,142,165,75,65,1,9,277,30,9,52,12
E09000002,Barking and Dagenham,E01000019,690,130,73,68,67,3,7,255,27,10,40,10
E09000002,Barking and Dagenham,E01000020,890,182,96,85,98,11,5,317,27,21,37,11
E09000002,Barking and Dagenham,E01000021,689,116,101,45,89,0,5,267,16,12,31,7
E09000002,Barking and Dagenham,E01000022,635,137,73,39,67,4,5,243,22,11,26,8
E09000002,Barking and Dagenham,E01000024,630,106,88,52,93,2,6,236,13,8,15,11
E09000002,Barking and Dagenham,E01000025,835,176,134,61,97,8,11,271,24,8,31,14
E09000002,Barking and Dagenham,E01000027,803,142,91,48,82,4,1,336,40,8,42,9
E09000002,Barking and Dagenham,E01000028,692,126,85,50,100,3,6,258,19,9,28,8
E09000002,Barking and Dagenham,E01000029,775,188,90,49,60,6,1,303,28,9,32,9
E09000002,Barking and Dagenham,E01000030,970,221,107,50,136,7,8,368,24,5,25,19
E09000002,Barking and Dagenham,E01000031,794,244,73,83,64,6,2,269,6,5,24,18
E09000002,Barking and Dagenham,E01000032,884,198,107,89,96,6,5,300,26,4,39,14
E09000002,Barking and Dagenham,E01000033,587,86,67,51,77,2,3,236,17,10,28,10
E09000002,Barking and Dagenham,E01000034,654,140,82,34,78,5,4,260,17,2,25,7
E09000002,Barking and Dagenham,E01000035,809,154,157,75,76,10,6,253,23,7,42,6
E09000002,Barking and Dagenham,E01000036,699,145,172,57,51,4,0,220,11,8,19,12
E09000002,Barking and Dagenham,E01000037,858,226,63,62,52,3,13,342,25,14,51,7
E09000002,Barking and Dagenham,E01000038,776,198,73,48,61,7,9,310,21,6,37,6
E09000002,Barking and Dagenham,E01000039,824,216,65,58,70,12,7,312,27,17,34,6
E09000002,Barking and Dagenham,E01000040,736,151,150,86,65,5,4,213,19,1,37,5
E09000002,Barking and Dagenham,E01000041,822,128,168,63,81,4,5,285,24,17,31,16
E09000002,Barking and Dagenham,E01000042,709,128,144,107,62,3,7,202,10,9,27,10
E09000002,Barking and Dagenham,E01000043,705,140,113,77,73,2,3,222,18,10,40,7
E09000002,Barking and Dagenham,E01000044,898,146,235,97,74,7,4,247,15,11,45,17
E09000002,Barking and Dagenham,E01000045,730,136,147,46,94,6,5,223,18,15,23,17
E09000002,Barking and Dagenham,E01000046,857,133,174,83,70,4,10,299,19,16,44,5
E09000002,Barking and Dagenham,E01000049,678,72,119,84,113,2,3,201,15,7,45,17
E09000002,Barking and Dagenham,E01000050,817,188,180,101,80,1,6,180,13,10,45,13
E09000002,Barking and Dagenham,E01000051,571,164,122,65,43,4,1,121,4,8,29,10
E09000002,Barking and Dagenham,E01000052,969,195,225,86,112,2,5,246,19,19,40,20
E09000002,Barking and Dagenham,E01000053,686,110,98,64,83,2,5,244,20,6,39,15
E09000002,Barking and Dagenham,E01000054,820,143,158,74,62,6,9,283,20,14,42,9
E09000002,Barking and Dagenham,E01000055,751,112,132,68,56,2,11,288,25,17,30,10
E09000002,Barking and Dagenham,E01000056,702,116,109,57,57,1,3,281,19,6,43,10
E09000002,Barking and Dagenham,E01000057,650,112,146,55,52,8,3,202,19,9,37,7
E09000002,Barking and Dagenham,E01000058,918,136,168,117,66,3,10,320,29,9,40,20
E09000002,Barking and Dagenham,E01000059,781,121,100,64,74,4,12,313,24,14,46,9
E09000002,Barking and Dagenham,E01000060,870,173,105,52,127,9,10,283,22,14,54,21
E09000002,Barking and Dagenham,E01000061,761,151,84,58,148,8,2,232,14,7,47,10
E09000002,Barking and Dagenham,E01000062,1025,194,175,60,123,6,2,355,36,8,48,18
E09000002,Barking and Dagenham,E01000063,799,152,108,45,110,3,5,294,15,9,46,12
E09000002,Barking and Dagenham,E01000064,1024,194,153,85,95,9,11,365,19,21,54,18
E09000002,Barking and Dagenham,E01000065,804,159,115,50,109,6,4,260,29,18,41,13
E09000002,Barking and Dagenham,E01000066,973,233,124,111,82,5,4,315,24,16,41,18
E09000002,Barking and Dagenham,E01000067,937,226,121,80,71,5,2,319,26,11,51,25
E09000002,Barking and Dagenham,E01000068,846,217,150,86,74,2,3,206,21,11,52,24
E09000002,Barking and Dagenham,E01000069,1018,307,152,69,52,14,1,330,22,14,47,10
E09000002,Barking and Dagenham,E01000070,893,281,137,68,61,11,1,258,15,8,43,10
E09000002,Barking and Dagenham,E01000071,1205,339,201,137,59,8,5,368,25,8,44,11
E09000002,Barking and Dagenham,E01000072,871,167,122,75,78,4,3,307,38,25,42,10
E09000002,Barking and Dagenham,E01000073,784,143,126,73,79,3,10,274,13,14,32,17
E09000002,Barking and Dagenham,E01000074,744,150,101,55,65,4,9,292,18,13,25,12
E09000002,Barking and Dagenham,E01000075,961,171,191,115,61,9,1,302,30,15,44,22
E09000002,Barking and Dagenham,E01000076,858,124,168,75,67,4,4,304,39,19,39,15
E09000002,Barking and Dagenham,E01000077,709,129,119,48,100,5,8,239,19,6,25,11
E09000002,Barking and Dagenham,E01000078,783,128,99,75,83,8,6,293,29,9,38,15
E09000002,Barking and Dagenham,E01000079,721,143,125,47,76,3,0,255,20,7,39,6
E09000002,Barking and Dagenham,E01000080,823,159,150,70,90,8,6,280,14,8,33,5
E09000002,Barking and Dagenham,E01000081,889,149,151,66,88,8,9,331,17,19,40,11
E09000002,Barking and Dagenham,E01000082,851,138,114,67,87,3,4,346,30,8,44,10
E09000002,Barking and Dagenham,E01000083,778,138,77,69,106,4,8,270,27,14,49,16
E09000002,Barking and Dagenham,E01000084,632,87,142,53,72,5,3,199,16,9,40,6
E09000002,Barking and Dagenham,E01000085,731,89,132,80,102,1,6,225,25,12,53,6
E09000002,Barking and Dagenham,E01000086,639,96,112,49,63,1,6,214,38,13,41,6
E09000002,Barking and Dagenham,E01000087,688,130,101,65,59,4,5,242,21,9,43,9
E09000002,Barking and Dagenham,E01000088,804,142,131,69,81,4,5,290,23,10,34,15
E09000002,Barking and Dagenham,E01000089,772,134,104,57,100,4,4,290,21,3,40,15
E09000002,Barking and Dagenham,E01000090,734,128,94,56,89,2,2,273,27,17,40,6
E09000002,Barking and Dagenham,E01000091,801,129,130,72,141,3,2,269,11,7,28,9
E09000002,Barking and Dagenham,E01000093,686,120,98,67,101,5,1,225,13,12,31,13
E09000002,Barking and Dagenham,E01000094,1126,247,237,88,119,2,5,351,10,18,35,14
E09000002,Barking and Dagenham,E01000095,949,251,143,69,76,10,6,323,18,6,35,12
E09000002,Barking and Dagenham,E01000096,606,105,84,62,91,2,6,207,14,5,25,5
E09000002,Barking and Dagenham,E01000097,790,159,87,97,83,6,4,266,29,7,45,7
E09000002,Barking and Dagenham,E01000098,792,134,89,78,92,6,6,301,14,12,45,15
E09000002,Barking and Dagenham,E01000099,1304,287,139,151,122,3,9,461,41,16,53,22
E09000002,Barking and Dagenham,E01000100,813,156,80,51,99,10,6,301,32,8,51,19
E09000002,Barking and Dagenham,E01000101,737,115,70,63,128,2,10,268,21,7,41,12
E09000002,Barking and Dagenham,E01000102,751,128,98,57,94,6,7,296,15,7,33,10
E09000002,Barking and Dagenham,E01000103,801,161,109,72,69,4,11,296,27,9,27,16
E09000002,Barking and Dagenham,E01000104,826,175,126,71,89,2,10,280,23,10,30,10
E09000002,Barking and Dagenham,E01000105,1015,190,172,79,117,12,7,325,23,10,62,18
E09000002,Barking and Dagenham,E01000106,871,133,154,91,97,5,5,294,20,13,49,10
E09000002,Barking and Dagenham,E01000107,739,156,135,63,37,5,5,263,27,11,26,11
E09000002,Barking and Dagenham,E01000108,855,166,179,94,67,3,4,281,18,3,32,8
E09000002,Barking and Dagenham,E01000110,734,197,76,56,57,3,4,256,21,7,43,14
E09000002,Barking and Dagenham,E01000111,961,202,144,76,116,5,3,324,26,8,41,16
E09000002,Barking and Dagenham,E01000112,914,237,122,129,80,3,1,258,25,3,40,16
E09000002,Barking and Dagenham,E01000113,943,259,116,119,97,8,5,269,18,2,45,5
E09000002,Barking and Dagenham,E01000114,1048,235,105,95,136,8,8,371,18,10,46,16
E09000002,Barking and Dagenham,E01032580,638,140,68,63,72,6,1,214,19,7,40,8
E09000002,Barking and Dagenham,E01033587,1245,381,248,157,93,3,5,257,19,14,56,12
E09000002,Barking and Dagenham,E01034469,790,265,102,62,53,2,4,241,15,6,17,23
E09000002,Barking and Dagenham,E01034470,679,152,70,47,81,2,5,253,22,6,35,6
E09000002,Barking and Dagenham,E01034471,1111,222,204,108,151,5,5,350,21,14,24,7
E09000002,Barking and Dagenham,E01034472,813,200,164,84,108,1,3,208,7,5,16,17
E09000002,Barking and Dagenham,E01034473,545,140,163,59,48,0,1,79,9,3,38,5
E09000002,Barking and Dagenham,E01034474,1067,385,267,112,100,4,3,116,10,13,46,11
E09000002,Barking and Dagenham,E01034475,761,135,119,82,79,4,5,243,24,19,35,16
E09000002,Barking and Dagenham,E01034476,778,206,124,63,63,7,8,226,25,15,33,8
E09000002,Barking and Dagenham,E01034477,783,215,125,71,72,4,2,240,12,8,17,17
E09000002,Barking and Dagenham,E01034478,705,256,144,56,31,3,5,166,7,13,16,8
E09000002,Barking and Dagenham,E01034479,858,159,148,126,89,1,6,210,15,17,68,19
E09000003,Barnet,E01000115,669,305,53,7,13,2,2,234,13,3,27,10
E09000003,Barnet,E01000116,825,343,66,12,42,6,3,274,16,4,47,12
E09000003,Barnet,E01000117,816,347,56,22,44,1,6,267,18,9,36,10
E09000003,Barnet,E01000118,997,389,83,10,53,9,3,372,19,12,38,9
E09000003,Barnet,E01000119,846,393,85,16,27,1,7,249,17,10,28,13
E09000003,Barnet,E01000120,707,326,57,10,22,1,3,227,15,5,31,10
E09000003,Barnet,E01000121,627,227,61,10,68,1,3,208,13,2,22,12
E09000003,Barnet,E01000122,741,312,74,18,31,4,4,240,21,5,23,9
E09000003,Barnet,E01000123,974,412,132,7,46,2,8,281,21,9,42,14
E09000003,Barnet,E01000124,872,307,120,24,93,1,9,231,27,18,33,9
E09000003,Barnet,E01000126,1015,299,145,28,132,3,8,305,24,11,45,15
E09000003,Barnet,E01000127,695,153,107,20,97,0,5,218,26,10,48,11
E09000003,Barnet,E01000128,916,223,157,27,94,5,9,291,32,8,60,10
E09000003,Barnet,E01000129,725,130,126,30,108,4,3,207,28,7,62,20
E09000003,Barnet,E01000130,924,205,129,44,132,7,7,309,21,11,47,12
E09000003,Barnet,E01000131,967,276,162,40,114,10,12,259,29,16,35,14
E09000003,Barnet,E01000132,735,151,113,33,88,4,7,233,37,8,51,10
E09000003,Barnet,E01000133,738,169,84,25,115,2,3,252,23,10,46,9
E09000003,Barnet,E01000134,802,185,134,28,109,3,16,225,19,8,52,23
E09000003,Barnet,E01000135,783,425,74,9,52,6,5,132,7,24,32,17
E09000003,Barnet,E01000136,668,422,64,7,21,9,3,96,9,5,23,9
E09000003,Barnet,E01000137,690,238,75,12,123,10,3,151,11,18,33,16
E09000003,Barnet,E01000138,760,279,75,24,110,8,4,178,12,12,45,13
E09000003,Barnet,E01000139,721,390,67,19,62,5,7,103,6,11,39,12
E09000003,Barnet,E01000140,1033,560,108,21,104,7,14,125,5,23,52,14
E09000003,Barnet,E01000141,1003,318,147,48,217,3,8,133,12,32,69,16
E09000003,Barnet,E01000142,1078,406,131,38,159,9,18,196,15,28,53,25
E09000003,Barnet,E01000143,750,275,74,40,121,7,12,125,9,14,46,27
E09000003,Barnet,E01000144,809,402,115,12,91,3,0,105,10,18,46,7
E09000003,Barnet,E01000145,648,301,51,21,36,3,2,166,12,5,44,7
E09000003,Barnet,E01000146,1025,500,177,11,93,9,3,123,13,21,59,16
E09000003,Barnet,E01000147,963,225,150,26,108,4,6,315,39,9,69,12
E09000003,Barnet,E01000150,1126,350,157,32,121,4,10,361,28,14,35,14
E09000003,Barnet,E01000151,584,117,80,28,75,3,21,176,12,1,63,8
E09000003,Barnet,E01000152,1318,485,156,61,124,6,11,369,24,9,58,15
E09000003,Barnet,E01000153,833,219,95,25,122,5,6,255,18,5,58,25
E09000003,Barnet,E01000154,895,264,189,20,108,3,5,220,22,11,35,18
E09000003,Barnet,E01000156,1004,485,90,13,72,9,8,204,9,30,59,25
E09000003,Barnet,E01000157,810,369,68,14,88,3,7,162,19,19,49,12
E09000003,Barnet,E01000158,744,302,79,18,53,8,5,197,13,20,39,10
E09000003,Barnet,E01000159,886,394,92,21,49,1,7,250,17,12,29,14
E09000003,Barnet,E01000160,1063,526,104,49,74,4,15,215,8,12,41,15
E09000003,Barnet,E01000161,932,395,96,26,110,5,6,224,7,10,36,17
E09000003,Barnet,E01000162,702,276,49,13,77,6,7,193,14,11,42,14
E09000003,Barnet,E01000163,767,213,68,12,132,2,9,240,18,14,47,12
E09000003,Barnet,E01000164,774,249,73,15,125,5,13,215,12,9,47,11
E09000003,Barnet,E01000165,849,318,86,39,79,3,4,250,6,19,31,14
E09000003,Barnet,E01000166,707,283,58,21,27,2,1,264,13,5,25,8
E09000003,Barnet,E01000167,661,217,45,17,40,7,3,258,23,6,37,8
E09000003,Barnet,E01000168,702,328,48,9,16,3,2,254,9,2,25,6
E09000003,Barnet,E01000169,830,361,60,42,37,7,4,249,11,10,33,16
E09000003,Barnet,E01000170,901,336,51,24,76,5,6,342,19,3,30,9
E09000003,Barnet,E01000171,1066,374,87,46,102,3,10,337,24,11,53,19
E09000003,Barnet,E01000172,733,369,42,11,19,3,0,239,11,5,23,11
E09000003,Barnet,E01000173,820,375,49,23,33,5,8,252,13,10,44,8
E09000003,Barnet,E01000174,811,306,65,45,71,1,8,239,7,9,50,10
E09000003,Barnet,E01000175,1020,430,63,87,42,3,3,283,14,14,54,27
E09000003,Barnet,E01000176,746,292,70,33,71,1,3,208,20,7,36,5
E09000003,Barnet,E01000177,866,506,114,6,35,5,8,117,6,18,43,8
E09000003,Barnet,E01000178,811,465,85,11,45,4,5,121,10,23,35,7
E09000003,Barnet,E01000179,1023,530,129,4,66,1,8,184,12,19,47,23
E09000003,Barnet,E01000180,758,366,102,21,49,1,5,152,8,14,34,6
E09000003,Barnet,E01000181,967,565,153,10,26,8,4,115,2,16,53,15
E09000003,Barnet,E01000182,881,551,114,11,37,2,2,89,2,21,43,9
E09000003,Barnet,E01000183,672,359,77,14,25,3,7,127,5,21,25,9
E09000003,Barnet,E01000184,819,279,69,14,103,5,8,236,18,20,57,10
E09000003,Barnet,E01000185,634,194,88,14,70,2,2,173,9,15,60,7
E09000003,Barnet,E01000186,840,371,54,11,56,2,1,275,17,1,39,13
E09000003,Barnet,E01000187,703,309,65,6,34,0,0,239,11,4,30,5
E09000003,Barnet,E01000188,727,363,58,18,12,6,0,236,4,0,18,12
E09000003,Barnet,E01000189,1247,526,158,24,94,11,3,361,17,7,35,11
E09000003,Barnet,E01000190,798,380,55,18,37,11,2,237,13,10,29,6
E09000003,Barnet,E01000191,670,313,53,10,14,4,3,219,8,2,32,12
E09000003,Barnet,E01000192,953,370,108,32,89,3,7,232,24,11,61,16
E09000003,Barnet,E01000193,955,343,132,51,83,5,0,234,23,6,68,10
E09000003,Barnet,E01000194,862,263,119,37,98,4,6,221,22,8,66,18
E09000003,Barnet,E01000195,889,209,98,17,131,2,4,325,53,5,35,10
E09000003,Barnet,E01000196,1103,538,151,25,95,3,8,193,6,13,57,14
E09000003,Barnet,E01000197,1006,478,171,16,59,3,7,176,7,23,49,17
E09000003,Barnet,E01000198,975,461,58,9,68,4,9,298,16,10,33,9
E09000003,Barnet,E01000199,694,422,44,5,26,2,4,160,5,3,18,5
E09000003,Barnet,E01000200,875,485,77,13,50,7,5,181,8,9,28,12
E09000003,Barnet,E01000201,704,402,29,14,24,2,4,184,10,4,25,6
E09000003,Barnet,E01000202,865,488,95,9,59,2,4,135,15,11,40,7
E09000003,Barnet,E01000203,805,357,72,10,88,5,9,187,19,15,31,12
E09000003,Barnet,E01000204,849,487,87,15,30,3,10,162,9,10,29,7
E09000003,Barnet,E01000205,746,477,48,4,14,5,3,139,16,11,19,10
E09000003,Barnet,E01000206,686,435,32,9,12,8,2,143,12,5,19,9
E09000003,Barnet,E01000207,662,409,47,9,25,2,3,128,8,7,17,7
E09000003,Barnet,E01000208,850,529,76,12,28,6,3,143,3,14,22,14
E09000003,Barnet,E01000209,648,438,43,9,21,3,0,94,8,7,19,6
E09000003,Barnet,E01000210,781,486,70,3,18,6,2,143,6,8,31,8
E09000003,Barnet,E01000211,1022,435,133,11,165,4,6,174,11,13,57,13
E09000003,Barnet,E01000212,673,378,82,10,57,1,4,97,7,8,23,6
E09000003,Barnet,E01000213,612,409,33,2,14,1,5,123,2,10,8,5
E09000003,Barnet,E01000214,913,552,107,12,50,8,3,113,6,20,35,7
E09000003,Barnet,E01000215,795,332,75,11,45,2,5,204,14,5,79,23
E09000003,Barnet,E01000216,860,473,77,6,52,1,1,168,11,10,52,9
E09000003,Barnet,E01000217,791,344,70,6,54,4,4,191,9,27,62,20
E09000003,Barnet,E01000218,784,300,90,16,67,1,3,195,26,7,67,12
E09000003,Barnet,E01000219,979,312,129,24,115,12,5,236,22,15,95,14
E09000003,Barnet,E01000220,774,263,100,19,66,2,13,192,16,6,79,18
E09000003,Barnet,E01000221,495,138,53,21,83,5,4,129,8,7,38,9
E09000003,Barnet,E01000222,889,316,98,21,124,4,9,221,14,18,47,17
E09000003,Barnet,E01000223,872,251,104,21,137,2,7,240,24,23,49,14
E09000003,Barnet,E01000224,706,255,102,20,109,4,10,148,8,12,25,13
E09000003,Barnet,E01000225,696,306,44,11,34,1,1,201,18,9,64,7
E09000003,Barnet,E01000226,795,167,110,27,93,6,7,286,18,15,54,12
E09000003,Barnet,E01000227,928,386,123,27,38,4,3,271,17,9,41,9
E09000003,Barnet,E01000228,698,326,25,18,27,3,3,243,11,6,22,14
E09000003,Barnet,E01000229,785,244,58,29,82,1,8,302,17,6,29,9
E09000003,Barnet,E01000230,829,342,58,23,42,3,1,275,20,11,43,11
E09000003,Barnet,E01000231,883,344,61,25,70,9,5,299,24,9,29,8
E09000003,Barnet,E01000232,866,388,64,45,41,7,3,260,19,5,25,9
E09000003,Barnet,E01000233,1005,449,99,29,56,3,3,284,19,8,44,11
E09000003,Barnet,E01000234,916,464,71,54,45,2,7,218,9,4,34,8
E09000003,Barnet,E01000235,893,250,99,59,97,11,6,272,24,5,55,15
E09000003,Barnet,E01000236,841,329,92,23,50,0,5,262,14,4,57,5
E09000003,Barnet,E01000237,1077,391,181,25,118,4,7,212,18,16,84,21
E09000003,Barnet,E01000238,912,291,112,12,96,4,11,272,24,18,61,11
E09000003,Barnet,E01000239,1020,332,154,32,129,8,3,268,13,9,56,16
E09000003,Barnet,E01000240,862,291,90,18,106,2,14,267,16,9,26,23
E09000003,Barnet,E01000241,893,404,77,19,70,1,4,239,17,5,48,9
E09000003,Barnet,E01000242,679,340,41,12,41,1,7,186,11,5,28,7
E09000003,Barnet,E01000243,1099,346,181,28,155,9,29,232,15,7,91,6
E09000003,Barnet,E01000244,818,282,94,41,109,5,6,179,26,3,66,7
E09000003,Barnet,E01000245,962,218,156,37,156,2,9,230,19,17,97,21
E09000003,Barnet,E01000246,730,382,77,12,23,0,4,187,14,6,20,5
E09000003,Barnet,E01000247,901,444,73,25,36,4,4,246,19,9,33,8
E09000003,Barnet,E01000248,852,461,80,14,28,3,6,176,7,6,64,7
E09000003,Barnet,E01000249,789,431,51,13,20,4,3,193,7,8,50,9
E09000003,Barnet,E01000250,1314,588,141,22,104,5,4,302,17,7,108,16
E09000003,Barnet,E01000251,1003,443,74,49,97,2,8,264,18,6,31,11
E09000003,Barnet,E01000252,884,420,61,40,52,0,7,253,15,2,22,12
E09000003,Barnet,E01000253,948,528,57,7,15,1,1,305,8,3,21,2
E09000003,Barnet,E01000254,776,434,61,8,16,5,3,173,7,8,51,10
E09000003,Barnet,E01000255,758,340,50,11,52,4,5,240,5,4,33,14
E09000003,Barnet,E01000256,875,388,55,25,83,4,10,261,9,2,28,10
E09000003,Barnet,E01000257,1046,456,141,21,81,4,1,253,10,18,45,16
E09000003,Barnet,E01000258,914,463,40,56,45,4,5,236,11,7,40,7
E09000003,Barnet,E01000259,1242,570,101,19,68,8,11,380,24,7,41,13
E09000003,Barnet,E01000260,1070,436,89,30,125,5,3,304,22,16,24,16
E09000003,Barnet,E01000261,753,412,31,16,24,2,1,199,9,11,41,7
E09000003,Barnet,E01000263,756,471,29,25,3,1,0,189,8,6,21,3
E09000003,Barnet,E01000264,963,391,81,54,91,2,7,246,15,3,50,23
E09000003,Barnet,E01000265,923,314,94,21,94,6,5,299,18,9,48,15
E09000003,Barnet,E01000266,685,387,44,13,12,1,4,183,9,8,17,7
E09000003,Barnet,E01000267,840,369,63,33,35,3,5,264,20,11,30,7
E09000003,Barnet,E01000268,1002,413,103,48,101,2,3,244,15,5,57,11
E09000003,Barnet,E01000269,671,328,47,7,37,3,0,202,7,7,21,12
E09000003,Barnet,E01000270,757,362,53,24,37,8,4,203,14,8,39,5
E09000003,Barnet,E01000271,764,389,56,19,27,1,1,219,14,9,24,5
E09000003,Barnet,E01000272,638,373,42,18,14,3,0,160,6,5,9,8
E09000003,Barnet,E01000273,808,406,70,11,53,4,8,195,14,4,39,4
E09000003,Barnet,E01000274,939,371,84,24,83,0,7,290,24,12,32,12
E09000003,Barnet,E01000275,840,429,118,16,28,3,3,190,7,6,30,10
E09000003,Barnet,E01000276,715,448,43,2,19,1,3,172,7,2,15,3
E09000003,Barnet,E01000277,818,389,146,24,45,2,3,156,8,6,28,11
E09000003,Barnet,E01000278,658,402,61,7,10,3,1,143,6,7,15,3
E09000003,Barnet,E01000279,602,362,33,10,16,4,4,153,5,2,9,4
E09000003,Barnet,E01000280,626,373,41,9,13,1,4,154,6,4,19,2
E09000003,Barnet,E01000281,991,579,112,18,45,2,5,185,7,5,24,9
E09000003,Barnet,E01000282,887,476,84,11,33,3,1,217,12,5,35,10
E09000003,Barnet,E01000283,654,392,44,2,10,1,1,183,8,4,8,1
E09000003,Barnet,E01000284,944,386,105,13,108,4,5,229,32,10,45,7
E09000003,Barnet,E01000285,693,295,50,6,46,4,7,228,15,5,30,7
E09000003,Barnet,E01000286,779,276,53,16,59,2,7,263,28,6,63,6
E09000003,Barnet,E01000287,738,225,55,9,44,9,7,299,20,8,53,9
E09000003,Barnet,E01000288,754,346,78,17,37,7,5,213,12,5,23,11
E09000003,Barnet,E01000289,656,184,61,22,96,0,4,228,16,6,34,5
E09000003,Barnet,E01000290,725,285,47,16,38,1,4,278,16,4,27,9
E09000003,Barnet,E01000291,740,275,67,12,54,2,2,261,19,11,29,8
E09000003,Barnet,E01000292,691,368,75,7,23,1,2,155,4,11,38,7
E09000003,Barnet,E01000293,910,443,103,16,42,5,2,209,10,7,64,9
E09000003,Barnet,E01000294,838,374,74,16,47,3,2,216,10,2,75,19
E09000003,Barnet,E01000295,876,488,129,10,39,0,7,144,9,11,35,4
E09000003,Barnet,E01000296,1004,487,171,12,64,2,4,177,12,15,50,10
E09000003,Barnet,E01000297,745,329,108,12,56,3,8,150,14,9,42,14
E09000003,Barnet,E01000298,928,437,160,15,75,1,2,154,4,9,61,10
E09000003,Barnet,E01000299,1020,428,126,27,100,5,5,204,14,18,84,9
E09000003,Barnet,E01000300,872,469,105,4,48,3,2,166,14,14,37,10
E09000003,Barnet,E01000301,684,406,57,15,17,1,2,149,7,8,16,6
E09000003,Barnet,E01000302,852,407,107,25,70,3,9,155,8,11,52,5
E09000003,Barnet,E01000303,710,402,85,8,30,1,2,131,3,7,36,5
E09000003,Barnet,E01000304,864,420,132,14,46,6,3,169,8,12,51,3
E09000003,Barnet,E01000305,849,284,110,40,112,8,9,188,14,11,59,14
E09000003,Barnet,E01000306,1069,263,194,51,163,1,17,255,28,13,74,10
E09000003,Barnet,E01000307,761,205,107,27,96,3,7,214,16,13,63,10
E09000003,Barnet,E01000308,1195,474,139,94,134,10,5,248,13,13,50,15
E09000003,Barnet,E01000309,1031,352,170,34,98,0,7,259,31,10,58,12
E09000003,Barnet,E01000310,1039,329,190,39,111,6,9,240,18,7,74,16
E09000003,Barnet,E01000311,748,337,57,14,49,4,7,199,14,12,47,8
E09000003,Barnet,E01000312,853,222,104,27,121,8,4,271,20,13,53,10
E09000003,Barnet,E01000313,957,249,150,60,161,4,7,219,21,11,65,10
E09000003,Barnet,E01000314,1139,405,207,45,99,6,12,238,18,7,89,13
E09000003,Barnet,E01000315,773,214,78,10,103,10,7,238,22,5,70,16
E09000003,Barnet,E01000316,1080,429,138,22,135,3,5,247,15,12,61,13
E09000003,Barnet,E01000317,759,384,86,15,54,2,3,139,9,15,45,7
E09000003,Barnet,E01000318,856,369,79,10,65,3,4,231,28,8,54,5
E09000003,Barnet,E01000319,709,383,63,11,28,4,7,157,6,9,33,8
E09000003,Barnet,E01000320,991,453,108,15,94,11,6,213,11,15,57,8
E09000003,Barnet,E01000321,1084,500,146,20,91,2,6,222,19,10,55,13
E09000003,Barnet,E01000322,900,358,117,10,74,6,5,210,14,22,64,20
E09000003,Barnet,E01000323,1216,455,205,15,173,6,6,219,12,14,97,14
E09000003,Barnet,E01000324,919,370,78,16,76,5,9,272,11,18,48,16
E09000003,Barnet,E01033911,911,486,88,10,25,0,5,253,8,9,18,9
E09000003,Barnet,E01033912,856,478,82,24,35,2,2,184,8,3,16,22
E09000003,Barnet,E01033913,580,137,78,24,89,2,6,186,20,1,27,10
E09000003,Barnet,E01033914,775,125,165,27,103,7,5,255,23,5,52,8
E09000003,Barnet,E01033915,545,230,68,13,56,6,1,126,8,3,28,6
E09000003,Barnet,E01033916,826,227,187,36,94,4,5,182,22,10,41,18
E09000003,Barnet,E01033917,864,383,149,11,75,7,6,160,8,9,46,10
E09000003,Barnet,E01033918,814,413,141,18,71,3,3,117,5,6,30,7
E09000003,Barnet,E01033919,805,423,160,18,42,4,4,118,7,2,21,6
E09000003,Barnet,E01033920,900,444,180,17,53,6,2,139,8,7,22,22
E09000003,Barnet,E01033921,921,408,205,20,60,4,1,161,8,10,35,9
E09000003,Barnet,E01033922,992,429,218,27,59,6,8,177,10,6,40,12
E09000003,Barnet,E01033923,726,245,135,20,71,0,8,174,13,10,37,13
